,Date,variable,value,module
207,2017-02-27,Number of picture does not meet standards,1650,Reasons for rejected applications
208,2017-03-06,Number of picture does not meet standards,1650,Reasons for rejected applications
209,2016-12-26,Number of incorrect payments,200,Reasons for rejected applications
210,2017-01-02,Number of incorrect payments,220,Reasons for rejected applications
211,2017-01-09,Number of incorrect payments,260,Reasons for rejected applications
212,2017-01-16,Number of incorrect payments,320,Reasons for rejected applications
213,2017-01-23,Number of incorrect payments,400,Reasons for rejected applications
214,2017-01-30,Number of incorrect payments,500,Reasons for rejected applications
215,2017-02-06,Number of incorrect payments,620,Reasons for rejected applications
216,2017-02-13,Number of incorrect payments,760,Reasons for rejected applications
217,2017-02-20,Number of incorrect payments,920,Reasons for rejected applications
218,2017-02-27,Number of incorrect payments,1100,Reasons for rejected applications
219,2017-03-06,Number of incorrect payments,1100,Reasons for rejected applications
220,2016-12-26,Visits,180,Weekly Unique Visits
221,2017-01-02,Visits,198,Weekly Unique Visits
222,2017-01-09,Visits,234,Weekly Unique Visits
223,2017-01-16,Visits,288,Weekly Unique Visits
224,2017-01-23,Visits,360,Weekly Unique Visits
225,2017-01-30,Visits,450,Weekly Unique Visits
226,2017-02-06,Visits,558,Weekly Unique Visits
227,2017-02-13,Visits,684,Weekly Unique Visits
228,2017-02-20,Visits,828,Weekly Unique Visits
229,2017-02-27,Visits,990,Weekly Unique Visits
230,2017-03-06,Visits,990,Weekly Unique Visits
231,2016-12-26,Unique visits,162,
232,2017-01-02,Unique visits,178,
233,2017-01-09,Unique visits,211,
234,2017-01-16,Unique visits,259,
235,2017-01-23,Unique visits,324,
236,2017-01-30,Unique visits,405,
237,2017-02-06,Unique visits,502,
238,2017-02-13,Unique visits,616,
239,2017-02-20,Unique visits,745,
240,2017-02-27,Unique visits,891,
241,2017-03-06,Unique visits,891,
242,2016-12-26,Pageviews,270,Weekly Pageviews
243,2017-01-02,Pageviews,297,Weekly Pageviews
244,2017-01-09,Pageviews,351,Weekly Pageviews
245,2017-01-16,Pageviews,432,Weekly Pageviews
246,2017-01-23,Pageviews,540,Weekly Pageviews
247,2017-01-30,Pageviews,675,Weekly Pageviews
248,2017-02-06,Pageviews,837,Weekly Pageviews
249,2017-02-13,Pageviews,1026,Weekly Pageviews
250,2017-02-20,Pageviews,1242,Weekly Pageviews
251,2017-02-27,Pageviews,1485,Weekly Pageviews
252,2017-03-06,Pageviews,1485,Weekly Pageviews
