,Date,value,#VerifyLocal [Service] performance dashboard,Channel breakdown for transactions,Number of user enquiries,Reasons for rejected applications,"Users who use Verify, abandon or use legacy route when starting an online application",Weekly Pageviews,Weekly Unique Visits
76,2017-02-27,523,For telephone,Number of transactions phone,,,,,
77,2017-02-27,550,For post,Number of transactions face to face,,Number of incomplete,Use legacy route,,
78,2017-02-27,825,For face to face,Number of transactions online GOV.UK Verify,,,Use GOV.UK Verify,,
79,2017-02-27,990,,,,,,,Visits
80,2017-03-06,1100,For online GOV.UK Verify,Number of transactions post,,Number of incorrect payments,Abandon application,,
81,2017-03-06,1485,,,,,,Pageviews,
82,2017-03-06,1650,For online legacy route,Number of transactions online legacy,,Number of picture does not meet standards,,,
83,2017-03-06,4648,,,Total contact,,,,
84,2017-03-06,523,For telephone,Number of transactions phone,,,,,
85,2017-03-06,550,For post,Number of transactions face to face,,Number of incomplete,Use legacy route,,
86,2017-03-06,825,For face to face,Number of transactions online GOV.UK Verify,,,Use GOV.UK Verify,,
87,2017-03-06,990,,,,,,,Visits
